T00|T01|T02|T03|T04|doc_id
0.016155284444135515|0.9369299913874568|0.015578005480298184|0.01579235298835387|0.015544365699755652|0
0.4788533067156154|0.4467657159454217|0.004137986471134543|0.004172728288975029|0.06607026257885336|1
0.14273421911758577|0.8561523047438792|0.0003666256424258251|0.00037034552608191453|0.00037650497002736583|2
0.0020429342640489625|0.026309727537530265|0.9152278718023892|0.05439438692102628|0.0020250794750053436|3
0.022635251087516416|0.023357859143802857|0.5263218095615376|0.4052834193056811|0.022401660901461836|4
0.25306697631030717|0.7330630662772107|0.0046053097130302045|0.00463827680975739|0.004626370889694514|5
0.15021636852250564|0.6010138756665379|0.0039685646339819155|0.00397356175487097|0.24082762942210367|6
0.6552754461276522|0.1886583005158862|0.011193032737093489|0.1335955812111958|0.011277639408172422|7
0.712895304098186|0.003033077892022098|0.003035990077109507|0.27799800656834883|0.0030376213643337566|8
0.2823176531463579|0.015570083928333027|0.01547645093292172|0.1466585090720384|0.539977302920349|9
0.41331007104959216|0.05164281550990337|0.05043088721649686|0.05172493969418659|0.4328912865298211|10
0.01842876982096779|0.4435305787287647|0.5013504397315522|0.01830607332027007|0.01838413839844509|11
0.9323942474986967|0.01702080996881786|0.01687946267068283|0.01687334809738895|0.01683213176441352|12
0.003860513944783687|0.6035864721434042|0.0038554287877789976|0.0038207799618985355|0.3848768051621346|13
0.015475527841939351|0.2614625650386537|0.015592897414599|0.015511437978890995|0.6919575717259169|14
0.20678888402600476|0.010035511750015545|0.10997393375743472|0.6635366295743393|0.009665040892205582|15
0.01069746121752412|0.6582046838344892|0.21457222803966106|0.010968521899143316|0.10555710500918226|16
0.9591314203124556|0.010170142436960215|0.010231509098495913|0.010345642528470103|0.010121285623618213|17
0.46374656814028525|0.014550226414098406|0.01471994632087763|0.4925931686078905|0.01439009051684827|18
0.9810404431677604|0.004698300695584485|0.00470858979304053|0.004859192900729845|0.0046934734428845755|19
0.5604993452725354|0.050317594618055864|0.05008870033479277|0.05055860892446158|0.28853575085015437|20
0.7826472190121518|0.18962988944687525|0.009291322866416735|0.009157780132958041|0.00927378854159827|21
0.9462388072826171|0.013491816198303624|0.013418769418327123|0.013412229602120268|0.013438377498631896|22
0.9375750777025872|0.015581094159240829|0.015495362961826279|0.015567338223128764|0.01578112695321698|23
0.013619089211519653|0.2560483159312962|0.1527826462099209|0.5640050204492331|0.013544928198030177|24
0.008249476290620722|0.008052150962410565|0.008032534458493695|0.967401528702238|0.008264309586237155|25
0.03399006905500988|0.03384254262803656|0.035036108069782954|0.8635478479249061|0.033583432322264434|26
0.8972974584420376|0.004458040369784095|0.08935758524438242|0.0044838530754908205|0.004403062868304957|27
0.6318363172632363|0.017466818334166554|0.3167303035579729|0.016914288525950675|0.01705227231867349|28
0.9660160190920967|0.00849078581390885|0.00858259253960437|0.00845012387006394|0.008460478684326056|29
