PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9|PC10|doc_id
0.08462592171002241|-0.021779148997118275|0.0009415915584157527|0.020455174934478133|0.0065468765302024775|0.007570926694714561|0.0038818133895473675|-0.044353018923894046|0.007185597475337629|-0.01762962749298733|0
0.1784678709319616|-0.053436245805468185|-0.046380847666536544|0.04121872006893|0.00788808202898432|-0.013164188728313925|-0.0031145149092882208|0.008966659173073363|-0.008766057606502741|-0.010497482498079639|1
0.17917886638886044|0.007006214591857098|0.011213144720357848|0.09876890816725069|0.027552182273353557|-0.04307956484018187|-0.007209225095703845|0.05492712823253038|0.04792401382956541|-0.0032325792189895207|2
0.12804297460651848|-0.025589126767710826|-0.024100143520214584|0.04722413961528775|0.03141369875083528|-0.07360824960963783|-0.11394608398113414|0.1262850058566526|0.11134975971227636|-0.08013401312988998|3
0.07426569119410445|0.0914860100616453|0.17331541992768684|0.16581440237980147|0.01603484184909154|-0.04989486927561662|0.015510889726962122|0.05522522997921051|0.03539321607479328|0.0574999590196304|4
0.1011085981599647|0.002655028721190634|-0.03004634352922623|0.04705379018752826|-0.04920147263316585|0.009896693652829781|0.05566656998678889|0.0028526599717901362|-0.03179534628981711|0.028196225261376575|5
0.12655020795815097|-0.013011345242552411|-0.03735559199471717|0.003910090873258503|0.042110969874828104|-0.03164661778076969|-0.009304463551579283|0.020629316692213493|-0.0006513060299322765|0.016699822421269026|6
0.053622558772940816|-0.030800230757337742|-0.030639236183044316|0.02699805443014964|-0.005303708394485927|0.005191854631242526|-0.030319514050535994|-0.0010573281047172567|0.013462692507799643|0.05350297181692353|7
0.16570075967484688|-0.05221880521817073|-0.020153122999768937|0.005205341807133426|0.0019494068377453634|-0.004251365355181986|-0.005250796850472723|-0.023531127822164623|-0.05412714748818452|-0.006727154812817301|8
0.06754317608316127|-0.02330335401084633|-0.006913738575774926|0.0013441219019984063|0.02301280392983057|-0.0010160828200194484|-0.010717311101219713|0.022004720962297414|-0.0010668399824345825|0.005990494654696659|9
0.06221889122757855|4.15434520690435e-05|0.015374434989002386|0.002035148701750264|0.007872692215586993|-0.0008342411126441079|-0.002580423227761708|-0.013268204792117901|-0.00811493502323023|-0.0219760973443801|10
0.032809466942472006|-0.00029122742554399655|-0.007333626345322539|0.005039341624674945|-0.003911480939442606|-0.009558407830600293|-0.008146442938044628|0.03012624966808108|0.004767270331005331|-0.010044649026888721|11
0.09148836061984641|-0.05828962336313018|-0.018446267801145617|0.014180528262188345|0.010215887289086569|-0.0004609255999540891|-0.008919700002423864|-0.015538739341653621|0.013545249028455261|0.01912194847529164|12
0.09880334410573771|0.0157079932477934|-0.025883158734277784|-0.009814549100647227|0.0758960171293672|0.025914958413011748|0.0063672425455045725|-0.006049506618359924|-0.06072013560497422|-0.030130898925216715|13
0.06641652545138105|-0.07640268334581055|0.08617604931032527|-0.06459725215229069|0.11787266609070694|0.17133345191517135|0.1877234599436467|0.16247162384245994|0.10746133330554272|-0.002783392134532479|14
0.08892172573986724|-0.08490461176529995|0.07390589551812436|-0.06333370713277536|0.016471882407234517|0.04327836925347064|0.06460160380123192|-0.012093571543211473|0.07406240373992752|0.04882978354231762|15
0.09061610968882299|-0.04524046369442194|-0.03335661733904716|0.0455724443878528|0.029617664328691742|-0.04967279675565429|-0.07566136137498801|0.06277917539725439|0.0684403464400788|-0.03179494690244921|16
0.10543230335220585|-0.04112105644416782|-0.040466111914502924|0.02468146167464975|-0.039910604087992685|-0.02409421441410424|0.02570321851987982|-0.009418033512624272|0.005380635661972528|0.014275509822861241|17
0.04370105606592599|-0.007686903523258427|0.016040990281113658|-0.004006350610057875|-0.004345305758716476|-0.0049962497879403826|-0.018568647383913738|-0.00958663910172413|0.0035606710143233715|-0.006112258711859799|18
0.0733824651981831|-0.014091986196973426|-0.018659673226312377|0.0029867415234604497|-0.020110586084383462|-0.006035834361927279|0.015297604268300492|0.004543915106937735|-0.010542752200651043|0.0017922215124089756|19
0.08901054428455432|-0.009487068493584501|-0.02161558388862276|0.008947631171209617|0.0040443044748060715|-0.03012816743846198|-0.01820823308178022|0.03105819184135214|-0.005325735201633875|0.017044398259719252|20
0.1062790872186195|-0.011223665974439015|-0.06308172048027993|0.025963267374185417|-0.039828695016323426|0.002004200422939806|0.05159670878120006|0.0395971938131015|-0.04387269117125932|0.013242475336418326|21
